"","date","city_name","province_level_region","city_type","latitude","longitude","temperature_2m_mean_c","temperature_2m_min_c","temperature_2m_max_c","apparent_temperature_max_c","precipitation_sum_mm","rain_sum_mm","wind_speed_10m_max_kmh","shortwave_radiation_sum_mj_m2","pm2_5_mean_ug_m3","pm10_mean_ug_m3","nitrogen_dioxide_mean_ug_m3","ozone_mean_ug_m3","us_aqi_daily_max","european_aqi_daily_max"
"230","2023-08-18","Shanghai","Shanghai","Municipality",31.2304,121.4737,26.3,23.4,31.1,37,9.7,9.7,15.9,20.41,40.012,63.008,59.512,60.5,168,105
"231","2023-08-19","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.7,23.4,32.3,37.1,0,0,18.3,23.61,40.242,62.037,43.867,77.917,111,72
"232","2023-08-20","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.1,25.1,31.9,37.6,3.2,3.2,20.1,21,44.296,68.129,42.592,67.792,140,81
"233","2023-08-21","Shanghai","Shanghai","Municipality",31.2304,121.4737,29.6,26.7,33.1,38.1,0,0,18.4,23.36,27.079,40.062,50.433,74.375,122,75
"234","2023-08-22","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.8,24.9,33.3,39.8,14.2,14.2,11,17.78,70.563,101.292,107.179,56.708,159,94
"235","2023-08-23","Shanghai","Shanghai","Municipality",31.2304,121.4737,26.9,24.2,30,36.1,3,3,14.3,18.49,43.475,69.171,73.038,48.75,164,100
"236","2023-08-24","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.5,23.5,31.3,37,0,0,10.5,23.45,34.783,59.796,73.171,46.375,120,75
"237","2023-08-25","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.4,24.4,31.2,35.4,0,0,15,24.52,25.429,45.471,60.804,70.667,99,68
"238","2023-08-26","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.2,23,31.5,35.7,1,1,19.4,20.43,22.488,41.133,46.704,82.625,101,64
"239","2023-08-27","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.8,25.4,30.6,36,4,4,24.1,15.79,29.567,45.433,35.779,59.875,91,65
"240","2023-08-28","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.5,22.6,31.3,35.9,11.8,11.8,22.7,10.21,24.529,37.187,50.517,24.5,89,64
"241","2023-08-29","Shanghai","Shanghai","Municipality",31.2304,121.4737,23,21.6,24.4,28,35.7,35.7,12.3,3.68,41.287,59.458,74.833,3.917,124,76
"242","2023-08-30","Shanghai","Shanghai","Municipality",31.2304,121.4737,22.6,20.7,23.9,26.4,21.7,21.7,23.6,7.78,20.625,32.312,54.983,56.042,114,73
"243","2023-08-31","Shanghai","Shanghai","Municipality",31.2304,121.4737,23.5,20.5,27.2,28.8,2.3,2.3,19.3,14.45,32.9,52.417,64.921,42.958,96,67
"244","2023-09-01","Shanghai","Shanghai","Municipality",31.2304,121.4737,24.6,21.4,28.1,30,0,0,23,20.26,18.592,35.829,40.583,80.167,95,66
"245","2023-09-02","Shanghai","Shanghai","Municipality",31.2304,121.4737,25.6,22.8,28.7,31.9,0,0,23.2,23.25,23.271,45.167,33.412,97.5,87,61
